Vendor,Invoice ID,Time,Order ID,ID,Earning(BDT),Total(BDT),Status,Mail,Website
Pa - Your Shoe,GOA001,1/14/2025 19:35:52,11486592,GO#1067,975,2235,Paid ,Mailed,Reduced
,,,11485202,GO#1063,1260,,,,
Hridoy Collection,GOA002,1/18/2025 10:07:39,11498424,GO#1135,665,665,Paid,Mailed,Reduced
Gallery of Colors,GOA003,1/19/2025 15:39:17,11471770,GO#1022,1287.75,28371.75,Paid,Mailed,Reduced
,,,11472683,GO#1024,1717.5,,,,
,,,11475100,GO#1026,1419.75,,,,
,,,11475617,GO#1036,1287.75,,,,
,,,11475781,GO#1037,1717.5,,,,
,,,11476629,GO#1041,1392.75,,,,
,,,11476634,GO#1042,1717.5,,,,
,,,11482206,GO#1053,1322.25,,,,
,,,11482363,GO#1055,1691.25,,,,
,,,11484647,GO#1058,1717.5,,,,
,,,11485961,GO#1065,1717.5,,,,
,,,11489046,GO#1073,1397.25,,,,
,,,11489518,GO#1076,1287.75,,,,
,,,11493702,GO#1096,1322.25,,,,
,,,11495082,GO#1110,1247.25,,,,
,,,11495438,GO#1112,1322.25,,,,
,,,11496133,GO#1118,1397.25,,,,
,,,11496903,GO#1124,1691.25,,,,
,,,11497239,GO#1125,1717.5,,,,
Zuqo,GOA004,1/23/2025 0:00:41,11490975,GO#1085,960,5680,Paid,Mailed,Reduced
,,,11491123,GO#1086,1200,,,,
,,,11498580,GO#1139,800,,,,
,,,11503954,GO#1173,960,,,,
,,,11508043,GO#1190,960,,,,
,,,11510130,GO#1200,800,,,,
Pa - Your Shoe,GOA005,1/22/2025 21:59:59,11514797,GO#1212,975,14287.5,Paid ,Mailed,Reduced
,,,11510044,GO#1199,975,,,,
,,,11509944,GO#1198,1387.5,,,,
,,,11509138,GO#1191,1162.5,,,,
,,,11506234,GO#1184,975,,,,
,,,11503707,GO#1169,1162.5,,,,
,,,11501290,GO#1154,1162.5,,,,
,,,11501008,GO#1152,1162.5,,,,
,,,11500571,GO#1151,1162.5,,,,
,,,11498665,GO#1140,975,,,,
,,,11496033,GO#1117,975,,,,
,,,11492466,GO#1090,1050,,,,
,,,11489665,GO#1078,1162.5,,,,
Tasnim Footware,GOA006,1/20/2025 19:16:36,11511758,GO#1205,2840,7885,Paid,Mailed,Reduced
,,,11504426,GO#1178,2840,,,,
,,,11482383,GO#1056,2205,,,,
Memart,GOA007,1/23/2025 16:10:45,11514145,GO#1209,599.25,599.25,Paid,Mailed,Reduced
Saraz Collection,GOA008,1/24/2025 0:35:07,11504230,GO#1176,5634.4,5634.4,Paid,Mailed,Reduced
Sultanentro,GOA009,1/25/2025 20:31:41,11481021,GO#1047,1869.75,33382.5,Paid ,Mailed,Reduced
,,,11484961,GO#1061,5667.75,,,,
,,,11490037,GO#1082,1719.75,,,,
,,,11490307,GO#1084,1869.75,,,,
,,,11494339,GO#1100,1914.75,,,,
,,,11494354,GO#1101,1869.75,,,,
,,,11494748,GO#1105,1572.75,,,,
,,,11495137,GO#1111,1922.25,,,,
,,,11495848,GO#1113,1869.75,,,,
,,,11497373,GO#1126,2132.25,,,,
,,,11497665,GO#1128,1572.75,,,,
,,,11498936,GO#1144,1914.75,,,,
,,,11498938,GO#1145,2132.25,,,,
,,,11500155,GO#1150,1914.75,,,,
,,,11503201,GO#1163,1719.75,,,,
,,,11509775,GO#1197,1719.75,,,,
Import Baby Dress,GOA010,1/27/2025 11:34:57,11529566,GO#1320,1724.25,14297.25,Paid,Mailed,Reduced
,,,11529460,GO#1319,941.25,,,,
,,,11529227,GO#1312,2250,,,,
,,,11528639,GO#1305,3266.25,,,,
,,,11528446,GO#1297,2253.75,,,,
,,,11526701,GO#1292,1087.5,,,,
,,,11525847,GO#1285,1087.5,,,,
,,,11525782,GO#1284,1087.5,,,,
,,,11523566,GO#1256,599.25,,,,
Inaya Outfits,GOA011,1/27/2025 13:52:04,11519579,GO#1237,8802.4,11374.4,Paid ,Mailed,Reduced
,,,11519579,GO#1237,2572,,,,
Super Noor Collection,GOA012,1/27/2025 21:28:30,11519578,GO#1237,3147.55,15050.1,Paid,Mailed,Reduced
,,,11519578,GO#1237,3147.55,,,,
,,,11519578,GO#1237,3825,,,,
,,,11519578,GO#1237,4930,,,,
Saraz Collection,GOA013,1/28/2025 0:50:42,11519577,GO#1237,3202.4,31124,Paid,Mailed,Reduced
,,,11519577,GO#1237,2149.6,,,,
,,,11519577,GO#1237,2650.4,,,,
,,,11519577,GO#1237,2954.4,,,,
,,,11519577,GO#1237,4802.4,,,,
,,,11519577,GO#1237,4802.4,,,,
,,,11519577,GO#1237,4170.4,,,,
,,,11519577,GO#1237,6392,,,,
Tasnim Footware,GOA014,1/30/2025 22:02:19,11515690,GO#1218,2840,13960,Paid,Mailed,Reduced
,,,11516919,GO#1223,3080,,,,
,,,11527208,GO#1293,2600,,,,
,,,11529393,GO#1317,2840,,,,
,,,11550362,GO#1449,2600,,,,
Chittagong Shoes,GOA015,2/1/2025 13:02:14,11559171,GO#1520,191.25,1173,Paid,Mailed,Reduced
,,,11557435,GO#1501,191.25,,,,
,,,11535309,GO#1349,191.25,,,,
,,,11528342,GO#1296,599.25,,,,
Tread Vibe,GOA016,1/30/2025 14:12:45,11560083,GO#1538,490,10194.5,Paid,Mailed,Reduced
,,,11559282,GO#1522,490,,,,
,,,11558962,GO#1514,493.5,,,,
,,,11554041,GO#1473,493.5,,,,
,,,11554041,GO#1473,493.5,,,,
,,,11554041,GO#1473,493.5,,,,
,,,11554035,GO#1472,493.5,,,,
,,,11551891,GO#1462,493.5,,,,
,,,11551433,GO#1459,493.5,,,,
,,,11551263,GO#1456,493.5,,,,
,,,11544405,GO#1415,493.5,,,,
,,,11544399,GO#1414,493.5,,,,
,,,11540651,GO#1396,493.5,,,,
,,,11537333,GO#1366,493.5,,,,
,,,11521852,GO#1249,703.5,,,,
,,,11521533,GO#1245,493.5,,,,
,,,11512425,GO#1207,703.5,,,,
,,,11509202,GO#1192,703.5,,,,
,,,11498757,GO#1142,493.5,,,,
,,,11481764,GO#1051,703.5,,,,
,,,11480956,GO#1046,703.5,,,,
,,,Reverse,,-1212,,,,
Sultanentro,GOA017,1/29/2025 12:04:56,11511366,GO#1202,1922.25,32538,Paid,Mailed,Reduced
,,,11515114,GO#1214,1700.25,,,,
,,,11515511,GO#1217,1869.75,,,,
,,,11517211,GO#1224,1922.25,,,,
,,,11518048,GO#1226,1922.25,,,,
,,,11518785,GO#1229,1922.25,,,,
,,,11519979,GO#1240,1572.75,,,,
,,,11522717,GO#1253,1572.75,,,,
,,,11527535,GO#1291,3407.25,,,,
,,,11535566,GO#1355,2132.25,,,,
,,,11535617,GO#1356,1719.75,,,,
,,,11544530,GO#1416,3407.25,,,,
,,,11544530,GO#1416,1914.75,,,,
,,,11547003,GO#1430,1719.75,,,,
,,,11549441,GO#1439,1922.25,,,,
,,,11560057,GO#1537,1910.25,,,,
Gallery of Colors,GOA018,1/30/2025 19:14:39,11497630,GO#1127,1322.25,36084.75,Unpaid,Notmailed,Not Reduced
,,,11498017,GO#1129,1691.25,,Unpaid,Notmailed,Not Reduced
,,,11498471,GO#1136,1691.25,,Unpaid,Notmailed,Not Reduced
,,,11498492,GO#1137,1247.25,,Unpaid,Notmailed,Not Reduced
,,,11498853,GO#1143,1717.5,,Unpaid,Notmailed,Not Reduced
,,,11499171,GO#1148,1287.75,,Unpaid,Notmailed,Not Reduced
,,,11501331,GO#1156,1717.5,,Unpaid,Notmailed,Not Reduced
,,,11503670,GO#1167,1717.5,,Unpaid,Notmailed,Not Reduced
,,,11503741,GO#1170,1717.5,,Unpaid,Notmailed,Not Reduced
,,,11509320,GO#1194,1717.5,,Unpaid,Notmailed,Not Reduced
,,,11511891,GO#1206,1717.5,,Unpaid,Notmailed,Not Reduced
,,,11521911,GO#1251,1247.25,,Unpaid,Notmailed,Not Reduced
,,,11523732,GO#1259,1287.75,,Unpaid,Notmailed,Not Reduced
,,,11524497,GO#1271,1717.5,,Unpaid,Notmailed,Not Reduced
,,,11528837,GO#1306,1287.75,,Unpaid,Notmailed,Not Reduced
,,,11529080,GO#1307,1419.75,,Unpaid,Notmailed,Not Reduced
,,,11535345,GO#1350,1462.5,,Unpaid,Notmailed,Not Reduced
,,,11539087,GO#1384,1691.25,,Unpaid,Notmailed,Not Reduced
,,,11541174,GO#1397,1247.25,,Unpaid,Notmailed,Not Reduced
,,,11543957,GO#1407,1419.75,,Unpaid,Notmailed,Not Reduced
,,,11544344,GO#1413,1462.5,,Unpaid,Notmailed,Not Reduced
,,,11545287,GO#1420,1287.75,,Unpaid,Notmailed,Not Reduced
,,,11549212,GO#1435,1691.25,,Unpaid,Notmailed,Not Reduced
,,,11549518,GO#1440,1317.75,,Unpaid,Notmailed,Not Reduced
Ahlan,GOA019,1/31/2025 15:15:54,11561300,GO#1546,880,4498,Paid,Mailed,Reduced
,,,11563793,GO#1565,952,,,,
,,,11563937,GO#1566,1084,,,,
,,,11564550,GO#1575,952,,,,
,,,11566654,GO#1597,952,,,,
,,,11566654,GO#1597,880,,,,
,,,Reverse,,-1202,,,,
Footco,GOA020,2/2/2025 15:52:16,11554040,GO#1473,483,966,Paid,Mailed,Reduced
,,,11554040,GO#1473,483,,,,
,,,11554040,GO#1473,483,,,,
,,,Reverse,,-483,,,,
Pa - Your Shoe,GOA021,2/1/2025 19:14:54,11496295,GO#1122,1162.5,22803.5,Paid,Mailed,Reduced
,,,11522044,GO#1252,1162.5,,,,
,,,11523558,GO#1255,1485,,,,
,,,11523710,GO#1258,1162.5,,,,
,,,11523927,GO#1262,975,,,,
,,,11523927,GO#1262,975,,,,
,,,11525912,GO#1286,1012.5,,,,
,,,11526195,GO#1290,975,,,,
,,,11528575,GO#1300,975,,,,
,,,11529386,GO#1316,975,,,,
,,,11530309,GO#1323,1087.5,,,,
,,,11530309,GO#1323,1335,,,,
,,,11530309,GO#1323,1050,,,,
,,,11530605,GO#1326,1237.5,,,,
,,,11533520,GO#1340,1162.5,,,,
,,,11534522,GO#1341,1050,,,,
,,,11534727,GO#1343,2325,,,,
,,,11535396,GO#1351,1425,,,,
,,,11538891,GO#1378,1162.5,,,,
,,,11539198,GO#1386,1162.5,,,,
,,,11544072,GO#1410,1162.5,,,,
,,,11545021,GO#1417,1237.5,,,,
,,,11546263,GO#1427,1350,,,,
,,,11552238,GO#1464,1335,,,,
,,,11554187,GO#1478,975,,,,
,,,,Due,29917.5,,,,
,,,,Reverse,-7114,,,,
Cosmetics Zone,GOA022,2/4/2025 21:26:36,11552650,GO#1467,680,680,Unpaid,Notmailed,Not Reduced
Inaya Outfits,GOA023,2/4/2025 17:48:23,11559511,GO#1532,8802.4,30666.4,Unpaid,Notmailed,Not Reduced
,,,11562940,GO#1560,2568,,Unpaid,Notmailed,Not Reduced
,,,11562940,GO#1560,2728,,Unpaid,Notmailed,Not Reduced
,,,11575374,GO#1663,3208,,Unpaid,Notmailed,Not Reduced
,,,11576306,GO#1673,4400,,Unpaid,Notmailed,Not Reduced
,,,11576306,GO#1673,3360,,Unpaid,Notmailed,Not Reduced
,,,11576583,GO#1675,5600,,Unpaid,Notmailed,Not Reduced
Inner magic,GOA024,2/4/2025 21:25:02,11519855,GO#1238,256,1840,Paid,Mailed,Reduced
,,,11521241,GO#1244,280,,,,
,,,11521241,GO#1244,104,,,,
,,,11539034,GO#1382,224,,,,
,,,11539663,GO#1389,464,,,,
,,,11566855,GO#1601,256,,,,
,,,11566855,GO#1601,716,,,,
,,,11569282,GO#1616,256,,,,
,,,Reverse,,,,,,
,,,Partial Delivery,GO#1601,-716,,,,
,,,,,,,Unpaid,Notmailed,Not Reduced
Memart,GOA025,2/7/2025 15:16:59,11592706,GO#1899,637.5,5737.5,Unpaid,Notmailed,Not Reduced
,,,11592706,GO#1899,1912.5,,Unpaid,Notmailed,Not Reduced
,,,11592706,GO#1899,1275,,Unpaid,Notmailed,Not Reduced
,,,11592706,GO#1899,1912.5,,Unpaid,Notmailed,Not Reduced
Footco,GOA026,2/8/2025 13:06:19,11572107,GO#1649,693,14553,Unpaid,Notmailed,Not Reduced
,,,11575448,GO#1665,693,,Unpaid,Notmailed,Not Reduced
,,,11577243,GO#1681,693,,Unpaid,Notmailed,Not Reduced
,,,11577977,GO#1690,693,,Unpaid,Notmailed,Not Reduced
,,,11578187,GO#1692,693,,Unpaid,Notmailed,Not Reduced
,,,11578260,GO#1693,693,,Unpaid,Notmailed,Not Reduced
,,,11578443,GO#1700,693,,Unpaid,Notmailed,Not Reduced
,,,11580537,GO#1710,693,,Unpaid,Notmailed,Not Reduced
,,,11581686,GO#1727,693,,Unpaid,Notmailed,Not Reduced
,,,11582095,GO#1735,693,,Unpaid,Notmailed,Not Reduced
,,,11582097,GO#1736,693,,Unpaid,Notmailed,Not Reduced
,,,11582833,GO#1750,693,,Unpaid,Notmailed,Not Reduced
,,,11583047,GO#1754,693,,Unpaid,Notmailed,Not Reduced
,,,11583584,GO#1764,693,,Unpaid,Notmailed,Not Reduced
,,,11583635,GO#1766,693,,Unpaid,Notmailed,Not Reduced
,,,11584042,GO#1773,693,,Unpaid,Notmailed,Not Reduced
,,,11585443,GO#1777,693,,Unpaid,Notmailed,Not Reduced
,,,11585443,GO#1777,693,,Unpaid,Notmailed,Not Reduced
,,,11585558,GO#1779,693,,Unpaid,Notmailed,Not Reduced
,,,11585646,GO#1784,693,,Unpaid,Notmailed,Not Reduced
,,,11585811,GO#1789,693,,Unpaid,Notmailed,Not Reduced
qWalk Footwear,GOA027,2/6/2025 12:26:55,11580339,GO#1708,1319.5,1319.5,Paid,Mailed,Reduced
Texpark,GOA028,2/4/2025 18:09:11,11528606,GO#1303,360,360,Unpaid,Notmailed,Not Reduced
Kiniso,GOA029,2/5/2025 18:42:34,11528605,GO#1303,414.17,1325.51,Unpaid,Notmailed,Not Reduced
,,,11535508,GO#1354,455.67,,Unpaid,Notmailed,Not Reduced
,,,11559363,GO#1523,455.67,,Unpaid,Notmailed,Not Reduced
Vitality Bazar,GOA030,2/5/2025 16:05:01,11564054,GO#1568,732.9,732.9,Unpaid,Notmailed,Not Reduced
Tread Vibe,GOA031,2/8/2025 19:20:22,11525262,GO#1280,703.5,2949.8,Paid,Mailed,Reduced
,,,11561897,GO#1552,490,,,,
,,,11572542,GO#1652,420,,,,
,,,11575278,GO#1661,493.5,,,,
,,,11582160,GO#1740,493.5,,,,
,,,11586041,GO#1794,349.3,,,,
Zuqo,GOA032,2/8/2025 11:44:03,11514186,GO#1210,800,29040,Unpaid,Notmailed,Not Reduced
,,,11514968,GO#1213,800,,Unpaid,Notmailed,Not Reduced
,,,11516334,GO#1221,960,,Unpaid,Notmailed,Not Reduced
,,,11516720,GO#1222,1200,,Unpaid,Notmailed,Not Reduced
,,,11519547,GO#1236,1200,,Unpaid,Notmailed,Not Reduced
,,,11523363,GO#1254,800,,Unpaid,Notmailed,Not Reduced
,,,11523784,GO#1260,800,,Unpaid,Notmailed,Not Reduced
,,,11523909,GO#1261,1200,,Unpaid,Notmailed,Not Reduced
,,,11524271,GO#1269,800,,Unpaid,Notmailed,Not Reduced
,,,11526152,GO#1289,1040,,Unpaid,Notmailed,Not Reduced
,,,11528589,GO#1302,1200,,Unpaid,Notmailed,Not Reduced
,,,11529179,GO#1310,1040,,Unpaid,Notmailed,Not Reduced
,,,11529325,GO#1313,1040,,Unpaid,Notmailed,Not Reduced
,,,11533445,GO#1337,800,,Unpaid,Notmailed,Not Reduced
,,,11536014,GO#1360,1040,,Unpaid,Notmailed,Not Reduced
,,,11538819,GO#1376,960,,Unpaid,Notmailed,Not Reduced
,,,11538956,GO#1381,800,,Unpaid,Notmailed,Not Reduced
,,,11540650,GO#1396,1040,,Unpaid,Notmailed,Not Reduced
,,,11549534,GO#1441,1200,,Unpaid,Notmailed,Not Reduced
,,,11556145,GO#1489,1040,,Unpaid,Notmailed,Not Reduced
,,,11556376,GO#1491,800,,Unpaid,Notmailed,Not Reduced
,,,11556376,GO#1491,800,,Unpaid,Notmailed,Not Reduced
,,,11559410,GO#1525,960,,Unpaid,Notmailed,Not Reduced
,,,11559469,GO#1529,800,,Unpaid,Notmailed,Not Reduced
,,,11560631,GO#1543,1040,,Unpaid,Notmailed,Not Reduced
,,,11569755,GO#1623,1040,,Unpaid,Notmailed,Not Reduced
,,,11571642,GO#1642,1040,,Unpaid,Notmailed,Not Reduced
,,,11572667,GO#1654,800,,Unpaid,Notmailed,Not Reduced
,,,11577609,GO#1685,1040,,Unpaid,Notmailed,Not Reduced
,,,11580846,GO#1717,960,,Unpaid,Notmailed,Not Reduced
Saraz Collection,GAO033,2/8/2025 12:26:17,11559510,GO#1532,3202.4,24286,Unpaid,Notmailed,Not Reduced
,,,11559922,GO#1536,4802.4,,Unpaid,Notmailed,Not Reduced
,,,11564078,GO#1570,5208,,Unpaid,Notmailed,Not Reduced
,,,11567339,GO#1609,2810.4,,Unpaid,Notmailed,Not Reduced
,,,11575081,GO#1657,2410.4,,Unpaid,Notmailed,Not Reduced
,,,11575561,GO#1668,6002.4,,Unpaid,Notmailed,Not Reduced
,,,Reverse,,,,Unpaid,Notmailed,Not Reduced
,,,Out of Stock,GO#2283,-150,,Unpaid,Notmailed,Not Reduced
Ahir Fashion,GOA034,,,GO#1723,1592,1592,Unpaid,Notmailed,Not Reduced