,Vendor,Invoice ID,Order ID,ID,Earning(BDT),Total(BDT),Status,Mail,Website,Paid,Mailed,Reduced
153,Gallery of Colors,Not Reduced,11545287,GO#1420,1287.75,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
154,Gallery of Colors,Not Reduced,11549212,GO#1435,1691.25,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
155,Gallery of Colors,Not Reduced,11549518,GO#1440,1317.75,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
156,Ahlan,Reduced,11561300,GO#1546,880.0,4498.0,Paid,Mailed,Reduced,Paid,Mailed,Reduced
157,Ahlan,Reduced,11563793,GO#1565,952.0,,,,,Paid,Mailed,Reduced
158,Ahlan,Reduced,11563937,GO#1566,1084.0,,,,,Paid,Mailed,Reduced
159,Ahlan,Reduced,11564550,GO#1575,952.0,,,,,Paid,Mailed,Reduced
160,Ahlan,Reduced,11566654,GO#1597,952.0,,,,,Paid,Mailed,Reduced
161,Ahlan,Reduced,11566654,GO#1597,880.0,,,,,Paid,Mailed,Reduced
162,Ahlan,Reduced,Reverse,,-1202.0,,,,,Paid,Mailed,Reduced
163,Footco,Reduced,11554040,GO#1473,483.0,966.0,Paid,Mailed,Reduced,Paid,Mailed,Reduced
164,Footco,Reduced,11554040,GO#1473,483.0,,,,,Paid,Mailed,Reduced
165,Footco,Reduced,11554040,GO#1473,483.0,,,,,Paid,Mailed,Reduced
166,Footco,Reduced,Reverse,,-483.0,,,,,Paid,Mailed,Reduced
167,Pa - Your Shoe,Reduced,11496295,GO#1122,1162.5,22803.5,Paid,Mailed,Reduced,Paid,Mailed,Reduced
168,Pa - Your Shoe,Reduced,11522044,GO#1252,1162.5,,,,,Paid,Mailed,Reduced
169,Pa - Your Shoe,Reduced,11523558,GO#1255,1485.0,,,,,Paid,Mailed,Reduced
170,Pa - Your Shoe,Reduced,11523710,GO#1258,1162.5,,,,,Paid,Mailed,Reduced
171,Pa - Your Shoe,Reduced,11523927,GO#1262,975.0,,,,,Paid,Mailed,Reduced
172,Pa - Your Shoe,Reduced,11523927,GO#1262,975.0,,,,,Paid,Mailed,Reduced
173,Pa - Your Shoe,Reduced,11525912,GO#1286,1012.5,,,,,Paid,Mailed,Reduced
174,Pa - Your Shoe,Reduced,11526195,GO#1290,975.0,,,,,Paid,Mailed,Reduced
175,Pa - Your Shoe,Reduced,11528575,GO#1300,975.0,,,,,Paid,Mailed,Reduced
176,Pa - Your Shoe,Reduced,11529386,GO#1316,975.0,,,,,Paid,Mailed,Reduced
177,Pa - Your Shoe,Reduced,11530309,GO#1323,1087.5,,,,,Paid,Mailed,Reduced
178,Pa - Your Shoe,Reduced,11530309,GO#1323,1335.0,,,,,Paid,Mailed,Reduced
179,Pa - Your Shoe,Reduced,11530309,GO#1323,1050.0,,,,,Paid,Mailed,Reduced
180,Pa - Your Shoe,Reduced,11530605,GO#1326,1237.5,,,,,Paid,Mailed,Reduced
181,Pa - Your Shoe,Reduced,11533520,GO#1340,1162.5,,,,,Paid,Mailed,Reduced
182,Pa - Your Shoe,Reduced,11534522,GO#1341,1050.0,,,,,Paid,Mailed,Reduced
183,Pa - Your Shoe,Reduced,11534727,GO#1343,2325.0,,,,,Paid,Mailed,Reduced
184,Pa - Your Shoe,Reduced,11535396,GO#1351,1425.0,,,,,Paid,Mailed,Reduced
185,Pa - Your Shoe,Reduced,11538891,GO#1378,1162.5,,,,,Paid,Mailed,Reduced
186,Pa - Your Shoe,Reduced,11539198,GO#1386,1162.5,,,,,Paid,Mailed,Reduced
187,Pa - Your Shoe,Reduced,11544072,GO#1410,1162.5,,,,,Paid,Mailed,Reduced
188,Pa - Your Shoe,Reduced,11545021,GO#1417,1237.5,,,,,Paid,Mailed,Reduced
189,Pa - Your Shoe,Reduced,11546263,GO#1427,1350.0,,,,,Paid,Mailed,Reduced
190,Pa - Your Shoe,Reduced,11552238,GO#1464,1335.0,,,,,Paid,Mailed,Reduced
191,Pa - Your Shoe,Reduced,11554187,GO#1478,975.0,,,,,Paid,Mailed,Reduced
192,Pa - Your Shoe,Reduced,,Due,29917.5,,,,,Paid,Mailed,Reduced
193,Pa - Your Shoe,Reduced,,Reverse,-7114.0,,,,,Paid,Mailed,Reduced
194,Cosmetics Zone,Not Reduced,11552650,GO#1467,680.0,680.0,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
195,Inaya Outfits,Not Reduced,11559511,GO#1532,8802.4,30666.4,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
196,Inaya Outfits,Not Reduced,11562940,GO#1560,2568.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
197,Inaya Outfits,Not Reduced,11562940,GO#1560,2728.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
198,Inaya Outfits,Not Reduced,11575374,GO#1663,3208.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
199,Inaya Outfits,Not Reduced,11576306,GO#1673,4400.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
200,Inaya Outfits,Not Reduced,11576306,GO#1673,3360.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
201,Inaya Outfits,Not Reduced,11576583,GO#1675,5600.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
202,Inner magic,Reduced,11519855,GO#1238,256.0,1840.0,Paid,Mailed,Reduced,Paid,Mailed,Reduced
203,Inner magic,Reduced,11521241,GO#1244,280.0,,,,,Paid,Mailed,Reduced
204,Inner magic,Reduced,11521241,GO#1244,104.0,,,,,Paid,Mailed,Reduced
205,Inner magic,Reduced,11539034,GO#1382,224.0,,,,,Paid,Mailed,Reduced
206,Inner magic,Reduced,11539663,GO#1389,464.0,,,,,Paid,Mailed,Reduced
207,Inner magic,Reduced,11566855,GO#1601,256.0,,,,,Paid,Mailed,Reduced
208,Inner magic,Reduced,11566855,GO#1601,716.0,,,,,Paid,Mailed,Reduced
209,Inner magic,Reduced,11569282,GO#1616,256.0,,,,,Paid,Mailed,Reduced
210,Inner magic,Reduced,Reverse,,,,,,,Paid,Mailed,Reduced
211,Inner magic,Reduced,Partial Delivery,GO#1601,-716.0,,,,,Paid,Mailed,Reduced
212,Inner magic,Not Reduced,,,,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
213,Memart,Not Reduced,11592706,GO#1899,637.5,5737.5,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
214,Memart,Not Reduced,11592706,GO#1899,1912.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
215,Memart,Not Reduced,11592706,GO#1899,1275.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
216,Memart,Not Reduced,11592706,GO#1899,1912.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
217,Footco,Not Reduced,11572107,GO#1649,693.0,14553.0,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
218,Footco,Not Reduced,11575448,GO#1665,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
219,Footco,Not Reduced,11577243,GO#1681,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
220,Footco,Not Reduced,11577977,GO#1690,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
221,Footco,Not Reduced,11578187,GO#1692,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
222,Footco,Not Reduced,11578260,GO#1693,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
223,Footco,Not Reduced,11578443,GO#1700,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
224,Footco,Not Reduced,11580537,GO#1710,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
225,Footco,Not Reduced,11581686,GO#1727,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
226,Footco,Not Reduced,11582095,GO#1735,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
227,Footco,Not Reduced,11582097,GO#1736,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
228,Footco,Not Reduced,11582833,GO#1750,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
229,Footco,Not Reduced,11583047,GO#1754,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
230,Footco,Not Reduced,11583584,GO#1764,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
231,Footco,Not Reduced,11583635,GO#1766,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
232,Footco,Not Reduced,11584042,GO#1773,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
233,Footco,Not Reduced,11585443,GO#1777,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
234,Footco,Not Reduced,11585443,GO#1777,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
235,Footco,Not Reduced,11585558,GO#1779,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
236,Footco,Not Reduced,11585646,GO#1784,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
237,Footco,Not Reduced,11585811,GO#1789,693.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
238,qWalk Footwear,Reduced,11580339,GO#1708,1319.5,1319.5,Paid,Mailed,Reduced,Paid,Mailed,Reduced
239,Texpark,Not Reduced,11528606,GO#1303,360.0,360.0,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
240,Kiniso,Not Reduced,11528605,GO#1303,414.17,1325.51,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
241,Kiniso,Not Reduced,11535508,GO#1354,455.67,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
242,Kiniso,Not Reduced,11559363,GO#1523,455.67,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
243,Vitality Bazar,Not Reduced,11564054,GO#1568,732.9,732.9,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
244,Tread Vibe,Reduced,11525262,GO#1280,703.5,2949.8,Paid,Mailed,Reduced,Paid,Mailed,Reduced
245,Tread Vibe,Reduced,11561897,GO#1552,490.0,,,,,Paid,Mailed,Reduced
246,Tread Vibe,Reduced,11572542,GO#1652,420.0,,,,,Paid,Mailed,Reduced
247,Tread Vibe,Reduced,11575278,GO#1661,493.5,,,,,Paid,Mailed,Reduced
248,Tread Vibe,Reduced,11582160,GO#1740,493.5,,,,,Paid,Mailed,Reduced
249,Tread Vibe,Reduced,11586041,GO#1794,349.3,,,,,Paid,Mailed,Reduced
250,Zuqo,Not Reduced,11514186,GO#1210,800.0,29040.0,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
251,Zuqo,Not Reduced,11514968,GO#1213,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
252,Zuqo,Not Reduced,11516334,GO#1221,960.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
253,Zuqo,Not Reduced,11516720,GO#1222,1200.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
254,Zuqo,Not Reduced,11519547,GO#1236,1200.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
255,Zuqo,Not Reduced,11523363,GO#1254,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
256,Zuqo,Not Reduced,11523784,GO#1260,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
257,Zuqo,Not Reduced,11523909,GO#1261,1200.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
258,Zuqo,Not Reduced,11524271,GO#1269,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
259,Zuqo,Not Reduced,11526152,GO#1289,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
260,Zuqo,Not Reduced,11528589,GO#1302,1200.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
261,Zuqo,Not Reduced,11529179,GO#1310,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
262,Zuqo,Not Reduced,11529325,GO#1313,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
263,Zuqo,Not Reduced,11533445,GO#1337,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
264,Zuqo,Not Reduced,11536014,GO#1360,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
265,Zuqo,Not Reduced,11538819,GO#1376,960.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
266,Zuqo,Not Reduced,11538956,GO#1381,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
267,Zuqo,Not Reduced,11540650,GO#1396,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
268,Zuqo,Not Reduced,11549534,GO#1441,1200.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
269,Zuqo,Not Reduced,11556145,GO#1489,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
270,Zuqo,Not Reduced,11556376,GO#1491,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
271,Zuqo,Not Reduced,11556376,GO#1491,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
272,Zuqo,Not Reduced,11559410,GO#1525,960.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
273,Zuqo,Not Reduced,11559469,GO#1529,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
274,Zuqo,Not Reduced,11560631,GO#1543,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
275,Zuqo,Not Reduced,11569755,GO#1623,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
276,Zuqo,Not Reduced,11571642,GO#1642,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
277,Zuqo,Not Reduced,11572667,GO#1654,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
278,Zuqo,Not Reduced,11577609,GO#1685,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
279,Zuqo,Not Reduced,11580846,GO#1717,960.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
280,Saraz Collection,Not Reduced,11559510,GO#1532,3202.4,24286.0,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
281,Saraz Collection,Not Reduced,11559922,GO#1536,4802.4,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
282,Saraz Collection,Not Reduced,11564078,GO#1570,5208.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
283,Saraz Collection,Not Reduced,11567339,GO#1609,2810.4,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
284,Saraz Collection,Not Reduced,11575081,GO#1657,2410.4,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
285,Saraz Collection,Not Reduced,11575561,GO#1668,6002.4,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
286,Saraz Collection,Not Reduced,Reverse,,,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
287,Saraz Collection,Not Reduced,Out of Stock,GO#2283,-150.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
288,Ahir Fashion,Not Reduced,,GO#1723,1592.0,1592.0,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
